t: 94730r: 2, x: 482.0000000000, p: 3.1330001354, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8930001259
t: 94740r: 2, x: 482.0000000000, p: 3.1330001354, v: 20.0012207031, d: 0.0126007696, a: 2.0000000000, dd: -0.2399999946, res: -2.9056007862
t: 94750r: 2, x: 482.0000000000, p: 3.1330001354, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8930001259
t: 94760r: 2, x: 482.0000000000, p: 3.1330001354, v: 20.0012207031, d: 0.0126007696, a: 2.0000000000, dd: -0.2399999946, res: -2.9056007862
t: 94770r: 2, x: 482.0000000000, p: 3.1330001354, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8930001259
t: 94780r: 2, x: 482.0000000000, p: 3.1330001354, v: 20.0012207031, d: 0.0126007696, a: 2.0000000000, dd: -0.2399999946, res: -2.9056007862
t: 94790r: 2, x: 482.0000000000, p: 3.1330001354, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8930001259
t: 94800r: 2, x: 482.0000000000, p: 3.1330001354, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8930001259
t: 94810r: 2, x: 482.0000000000, p: 3.1330001354, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8930001259
t: 94820r: 2, x: 482.0000000000, p: 3.1330001354, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8930001259
t: 94830r: 2, x: 482.0000000000, p: 3.1330001354, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8930001259
t: 94840r: 2, x: 482.0000000000, p: 3.1330001354, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8930001259
t: 94850r: 2, x: 482.0000000000, p: 3.1330001354, v: -20.0012207031, d: -0.0126007696, a: 2.0000000000, dd: -0.2399999946, res: -2.8803994656
t: 94860r: 2, x: 482.0000000000, p: 3.1330001354, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8930001259
t: 94870r: 2, x: 482.0000000000, p: 3.1330001354, v: -39.9963378906, d: -0.0251976960, a: 2.0000000000, dd: -0.2399999946, res: -2.8678023815
t: 94880r: 2, x: 482.0000000000, p: 3.1330001354, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8930001259
t: 94890r: 2, x: 482.0000000000, p: 3.1330001354, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8930001259
t: 94900r: 2, x: 482.0000000000, p: 3.1330001354, v: 19.9951171875, d: 0.0125969216, a: 2.0000000000, dd: -0.2399999946, res: -2.9055969715
t: 94910r: 2, x: 482.0000000000, p: 3.1330001354, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8930001259
t: 94920r: 2, x: 482.0000000000, p: 3.1330001354, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8930001259
t: 94930r: 2, x: 482.0000000000, p: 3.1330001354, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8930001259
t: 94940r: 2, x: 481.0000000000, p: 3.1265001297, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8865001202
t: 94950r: 2, x: 481.0000000000, p: 3.1265001297, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8865001202
t: 94960r: 2, x: 483.0000000000, p: 3.1395001411, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8995001316
t: 94970r: 2, x: 482.0000000000, p: 3.1330001354, v: -20.0012207031, d: -0.0126007696, a: 2.0000000000, dd: -0.2399999946, res: -2.8803994656
t: 94980r: 2, x: 481.0000000000, p: 3.1265001297, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8865001202
t: 94990r: 2, x: 481.0000000000, p: 3.1265001297, v: 19.9951171875, d: 0.0125969216, a: 2.0000000000, dd: -0.2399999946, res: -2.8990969658
t: 95000r: 2, x: 482.0000000000, p: 3.1330001354, v: -19.9951171875, d: -0.0125969216, a: 2.0000000000, dd: -0.2399999946, res: -2.8804032803
t: 95010r: 2, x: 482.0000000000, p: 3.1330001354, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8930001259
t: 95020r: 2, x: 482.0000000000, p: 3.1330001354, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8930001259
t: 95030r: 2, x: 481.0000000000, p: 3.1265001297, v: 19.9951171875, d: 0.0125969216, a: 2.0000000000, dd: -0.2399999946, res: -2.8990969658
t: 95040r: 2, x: 482.0000000000, p: 3.1330001354, v: -19.9951171875, d: -0.0125969216, a: 2.0000000000, dd: -0.2399999946, res: -2.8804032803
t: 95050r: 2, x: 482.0000000000, p: 3.1330001354, v: 19.9951171875, d: 0.0125969216, a: 2.0000000000, dd: -0.2399999946, res: -2.9055969715
